date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-03-20,282.16,283.5,280.32,281.55,280.1873,84609200.0,0.0,1.0
2019-03-21,280.64,285.18,280.59,284.73,283.3519,79550400.0,0.0,1.0
2019-03-22,283.22,283.8,279.18,279.25,277.8984,122659300.0,0.0,1.0
2019-03-25,278.87,280.19,277.64,279.04,277.6894,85575200.0,0.0,1.0
2019-03-26,280.99,282.18,279.56,281.12,279.7593,68125900.0,0.0,1.0
2019-03-27,281.11,281.76,277.93,279.65,278.2964,72224700.0,0.0,1.0
2019-03-28,280.35,281.21,279.07,280.71,279.3513,56238500.0,0.0,1.0
2019-03-29,282.39,282.84,281.14,282.48,281.1128,82186800.0,0.0,1.0
2019-04-01,284.7,286.16,284.4,285.83,284.4465,77617900.0,0.0,1.0
2019-04-02,286.04,286.23,285.09,285.97,284.5859,40070400.0,0.0,1.0
2019-04-03,287.32,287.76,285.75,286.42,285.0337,68243200.0,0.0,1.0
2019-04-04,286.78,287.46,286.01,287.18,285.79,48997500.0,0.0,1.0
2019-04-05,287.92,288.63,287.6,288.57,287.1733,58621700.0,0.0,1.0
2019-04-08,288.1,288.91,287.37,288.79,287.3922,53566300.0,0.0,1.0
2019-04-09,287.72,288.08,286.7,287.31,285.9194,66142300.0,0.0,1.0
2019-04-10,287.77,288.39,287.31,288.29,286.8947,52601500.0,0.0,1.0
2019-04-11,288.83,288.84,287.58,288.21,286.815,55093100.0,0.0,1.0
2019-04-12,290.0,290.47,288.26,290.16,288.7556,69727800.0,0.0,1.0
2019-04-15,290.24,290.35,289.08,289.97,288.5665,49596700.0,0.0,1.0
2019-04-16,290.95,291.01,289.5,290.16,288.7556,52153200.0,0.0,1.0
2019-04-17,291.4,291.43,288.99,289.45,288.049,58268300.0,0.0,1.0
2019-04-18,290.1,290.32,288.66,290.02,288.6162,68708500.0,0.0,1.0
2019-04-22,289.17,290.44,289.07,290.27,288.8651,40160100.0,0.0,1.0
2019-04-23,290.68,293.14,290.42,292.88,291.4624,52246600.0,0.0,1.0
2019-04-24,292.79,293.16,292.07,292.23,290.8156,50392900.0,0.0,1.0
2019-04-25,292.12,292.78,290.73,292.05,290.6364,57770900.0,0.0,1.0
2019-04-26,292.1,293.49,291.24,293.41,291.9899,50916400.0,0.0,1.0
2019-04-29,293.51,294.45,293.41,293.87,292.4476,57197700.0,0.0,1.0
2019-04-30,293.49,294.34,291.92,294.02,292.5969,81111700.0,0.0,1.0
2019-05-01,294.72,294.95,291.8,291.81,290.3976,71671900.0,0.0,1.0
2019-05-02,291.68,292.7,289.52,291.18,289.7706,65030200.0,0.0,1.0
2019-05-03,292.82,294.34,291.3,294.03,292.6068,56543700.0,0.0,1.0
2019-05-06,289.25,293.31,288.9,292.82,291.4027,107198100.0,0.0,1.0
2019-05-07,290.15,290.81,285.81,287.93,286.5364,144729900.0,0.0,1.0
2019-05-08,287.53,289.43,286.87,287.53,286.1383,91568300.0,0.0,1.0
2019-05-09,285.23,287.33,283.3,286.66,285.2725,103471100.0,0.0,1.0
2019-05-10,285.62,288.94,282.3,288.1,286.7056,112429300.0,0.0,1.0
2019-05-13,282.42,283.49,279.93,280.86,279.5006,127290500.0,0.0,1.0
2019-05-14,281.99,285.1,281.85,283.4,282.0283,77003200.0,0.0,1.0
2019-05-15,281.59,285.77,281.36,285.06,283.6803,73956400.0,0.0,1.0
2019-05-16,285.84,289.21,285.76,287.7,286.3075,76749600.0,0.0,1.0
2019-05-17,285.14,288.6,285.12,285.84,284.4565,100353000.0,0.0,1.0
2019-05-20,284.06,285.96,283.12,283.95,282.5757,62877600.0,0.0,1.0
2019-05-21,285.83,286.93,285.55,286.51,285.1233,46847100.0,0.0,1.0
2019-05-22,285.45,286.69,285.1,285.63,284.2475,49482500.0,0.0,1.0
2019-05-23,283.16,283.21,280.57,282.14,280.7744,98733800.0,0.0,1.0
2019-05-24,283.74,284.2,282.09,282.78,281.4113,55268100.0,0.0,1.0
2019-05-28,283.09,284.15,280.13,280.15,278.794,70029400.0,0.0,1.0
2019-05-29,278.91,279.36,276.71,278.27,276.9231,104972900.0,0.0,1.0
2019-05-30,279.11,280.04,277.81,279.03,277.6794,62523800.0,0.0,1.0
2019-05-31,276.2,277.12,275.24,275.27,273.9377,86862800.0,0.0,1.0
2019-06-03,275.31,276.55,273.09,274.57,273.2411,96428000.0,0.0,1.0
2019-06-04,277.12,280.68,276.62,280.53,279.1722,77231900.0,0.0,1.0
2019-06-05,282.33,282.99,280.32,282.96,281.5904,71169700.0,0.0,1.0
2019-06-06,283.29,285.55,282.57,284.8,283.4215,69430400.0,0.0,1.0
2019-06-07,285.93,288.85,285.74,287.65,286.2577,74272200.0,0.0,1.0
2019-06-10,289.37,290.82,288.87,288.97,287.5714,60799100.0,0.0,1.0
2019-06-11,290.99,291.4,288.18,288.9,287.5017,58641300.0,0.0,1.0
2019-06-12,288.64,289.26,287.82,288.39,286.9942,47096300.0,0.0,1.0
2019-06-13,289.4,289.98,288.62,289.58,288.1784,48945200.0,0.0,1.0
2019-06-14,289.26,289.93,288.41,289.26,287.86,52324700.0,0.0,1.0
2019-06-17,289.52,290.22,289.18,289.37,287.9694,39205700.0,0.0,1.0
2019-06-18,291.39,293.57,290.99,292.4,290.9847,85434800.0,0.0,1.0
2019-06-19,292.55,293.65,291.47,293.06,291.6415,78674400.0,0.0,1.0
2019-06-20,296.04,296.31,293.13,295.86,294.428,116570000.0,0.0,1.0
2019-06-21,294.13,295.52,293.76,294.0,294.0,83309500.0,1.432,1.0
2019-06-24,294.23,294.58,293.47,293.64,293.64,47582700.0,0.0,1.0
2019-06-25,293.7,293.73,290.64,290.76,290.76,82028700.0,0.0,1.0
2019-06-26,291.75,292.31,290.35,290.47,290.47,51584900.0,0.0,1.0
2019-06-27,291.31,292.06,290.89,291.5,291.5,40355200.0,0.0,1.0
2019-06-28,292.58,293.55,292.01,293.0,293.0,59350900.0,0.0,1.0
2019-07-01,296.68,296.92,294.33,295.66,295.66,79107500.0,0.0,1.0
2019-07-02,295.61,296.49,294.68,296.43,296.43,61504500.0,0.0,1.0
2019-07-03,297.18,298.82,297.02,298.8,298.8,40898900.0,0.0,1.0
2019-07-05,297.44,298.64,296.01,298.46,298.46,51677300.0,0.0,1.0
2019-07-08,297.01,298.26,296.22,296.82,296.82,45841800.0,0.0,1.0
2019-07-09,295.54,297.52,295.48,297.19,297.19,41101300.0,0.0,1.0
2019-07-10,298.37,299.66,297.78,298.61,298.61,58448500.0,0.0,1.0
2019-07-11,299.32,299.58,298.2,299.31,299.31,50826100.0,0.0,1.0
2019-07-12,299.85,300.73,299.51,300.65,300.65,40326000.0,0.0,1.0
2019-07-15,301.13,301.13,300.19,300.75,300.75,33900000.0,0.0,1.0
2019-07-16,300.65,300.88,299.44,299.78,299.78,36650100.0,0.0,1.0
2019-07-17,299.75,299.93,297.74,297.74,297.74,36036300.0,0.0,1.0
2019-07-18,297.19,299.25,296.7,298.83,298.83,51392600.0,0.0,1.0
2019-07-19,300.04,300.07,296.98,297.17,297.17,58678600.0,0.0,1.0
2019-07-22,297.61,298.5,297.04,297.9,297.9,43638100.0,0.0,1.0
2019-07-23,299.14,300.03,298.22,300.03,300.03,44564500.0,0.0,1.0
2019-07-24,299.19,301.44,299.09,301.44,301.44,47213200.0,0.0,1.0
2019-07-25,300.94,301.0,299.11,300.0,300.0,55394100.0,0.0,1.0
2019-07-26,300.76,302.23,300.62,302.01,302.01,45084100.0,0.0,1.0
2019-07-29,301.88,302.01,300.85,301.46,301.46,38126500.0,0.0,1.0
2019-07-30,299.91,301.17,299.49,300.72,300.72,45849000.0,0.0,1.0
2019-07-31,300.99,301.2,295.2,297.43,297.43,104245200.0,0.0,1.0
2019-08-01,297.6,300.87,293.96,294.84,294.84,142646600.0,0.0,1.0
2019-08-02,293.85,294.12,290.9,292.62,292.62,116749700.0,0.0,1.0
2019-08-05,288.09,288.21,281.72,283.82,283.82,178745400.0,0.0,1.0
2019-08-06,285.91,288.04,284.28,287.8,287.8,120711700.0,0.0,1.0
2019-08-07,284.4,288.82,282.04,287.97,287.97,140572300.0,0.0,1.0
2019-08-08,289.62,293.62,289.01,293.62,293.62,87713900.0,0.0,1.0
2019-08-09,292.58,293.24,289.65,291.62,291.62,89951300.0,0.0,1.0
